99533588;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT10 x 5910 -V- PAZ
;/;GesaXXXhe XXXmm
;/;Zahnriemen schwarz eingefXXXrbt
;/;nach Zeichnung XXXX
89442133;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT10 x 1700 -V- PAZ
;/;GesamthXXXhe XXXmm
;/;Zahnriemen schwarz eingefXXXrbt
;/;nach Zeichnung XXXX
78934457;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT10 x 10980 - V - PAZ - DR
;/;Zahnriemen schwarz eingefXXXrbt
;/;nach Zeichnung XXXXX
63812112;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT15 x 900 -V- PAZ
;/;GesamthXXXhe XXXXmm
;/;Zahnriemen schwarz eingefXXXXrbt
;/;nach Zeichnung XXXX
23123177;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT10 x 5910 -V- PAZ
;/;GesamthXXXhe XXXmm
;/;Zahnriemen schwarz eingefXXXrbt
;/;nach Zeichnung XXXX
77888934;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT10 x 5910 -V- PAZ
;/;GesamthXXXXhe XXXmm
;/;Zahnriemen schwarz eingefXXXXrbt
;/;nach Zeichnung XXXXX
45458834;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT10 x 10980 -V- PAZ
;/;GesamthXXXhe XXXXmm
;/;Zahnriemen schwarz eingefXXXXrbt
;/;nach Zeichnung XXXX
63458978;*;Breco-Zahnriemen endlos verschweisst
;/;50 AT10 x 14000 -V- PAZ
;/;GesamthXXXXhe XXXXmm
;/;Zahnriemen schwarz eingefXXXrbt
;/;nach Zeichnung XXXX
73457178;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT10 x 1440 DR -V- PAZ
;/;GesamthXXhe XXXXmm
;/;Zahnriemen schwarz eingefXXXXXrbt
;/;nach Zeichnung XXXX
12345611;*;Breco-V Zahnriemen, endlos verschweiXt
;/;50 AT10 x 5400
;/;Material: TXXXU1, VXX-Litze
;/;mit 1X9 aufgescXXXXten Profilen XXXXX
;/;und einem Profil 2.3XXXXXX05 mit
;/;Bohrung XXXX2,Xmm (Toleranz XXX oval)
;/;LXXXXnge: XXXmm
;/;nach Zeichnung XXXX
48325711;*;Breco-V-Zahnriemen 75 ATK10K13 x 2650 - V
;/;endlos verschweiXXXt
;/;mit VA-Litze
;/;nach Zeichnung XXXX
31189512;*;Breco-V-Zahnriemen endlos verschweiXXt
;/;100 BAT10 x 5260 - V - PAZ - DR
;/;schwarz eingefXXXrbt
;/;.
;/;Mindestmenge: XXX Meter
;/;.
22912118;*;Breco-V-Zahnriemen endlos verschweiXt
;/;100 BAT10 x 8460 - V - PAZ - DR
;/;schwarz eingefXrbt
;/;.
;/;Mindestmenge: XXX Meter
;/;.
22491816;*;Breco-V-Zahnriemen endlos verschweiXt
;/;100 BAT10 x 8010 - V - PAZ - DR
;/;schwarz eingefXrbt
;/;.
;/;Mindestmenge: XXXX Meter
;/;.
16171820;*;Breco-V-Zahnriemen endlos verschweiXt
;/;100 BAT10 x 10450 - V - PAZ - DR
;/;schwarz eingefXrbt
;/;.
;/;Mindestmenge: XXX Meter
;/;.
