78934457;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT10 x 10980 - V - PAZ - DR
;/;Zahnriemen schwarz eingefXXXrbt
;/;nach Zeichnung XXXXX
78934457;*;Breco-V timing-belt endless welded
;/;100 AT10 x 10.980 -V- PAZ - DR
;/;total height XXXmm
;/;Timing-belt XXXX
;/;according to drawing XXXX
63812112;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT15 x 900 -V- PAZ
;/;GesamthXXXhe XXXXmm
;/;Zahnriemen schwarz eingefXXXXrbt
;/;nach Zeichnung XXXX
63812112;*;Breco-V- timing belt endless welded
;/;100 AT10 x 13140 -V- PAZ
;/;total hight XXXXmm
;/;timing belt colored XXXX
;/;according to drawing XXXX
;/;.
63458978;*;Breco-Zahnriemen endlos verschweisst
;/;50 AT10 x 14000 -V- PAZ
;/;GesamthXXXXhe XXXXmm
;/;Zahnriemen schwarz eingefXXXrbt
;/;nach Zeichnung XXXX
63458978;*;Breco-V- timing belt endless welded
;/;100 AT10 x 10980 -V- PAZ
;/;total hight XXXmm
;/;timing belt colored black
;/;according to drawing XXXX
;/;.
73457178;*;Breco-Zahnriemen endlos verschweisst
;/;100 AT10 x 1440 DR -V- PAZ
;/;GesamthXXhe XXXXmm
;/;Zahnriemen schwarz eingefXXXXXrbt
;/;nach Zeichnung XXXX
73457178;*;Breco-V timing-belt endless welded
;/;100 AT10 x 1440 -V- DR - PAZ
;/;total height XXXmm
;/;Timing-belt XXX pigmented
;/;according to drawing XXXX
48325711;*;Breco-V-Zahnriemen 75 ATK10K13 x 2650 - V
;/;endlos verschweiXXXt
;/;mit VA-Litze
;/;nach Zeichnung XXXX
48325711;*;Breco-V timing-belt 75 ATK10K13 x 2650 - V
;/;endless welded
;/;XX tensXXX member
;/;according to drawing XXXX
